City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
268,Vestmannaeyjar,IS,63.4427,-20.2734,37.72,59,100,20.69,overcast clouds
269,Oum Hadjer,TD,13.2954,19.6966,71.83,20,30,9.86,scattered clouds
270,Kruisfontein,ZA,-34.0033,24.7314,58.89,94,38,3.49,scattered clouds
271,Keti Bandar,PK,24.1447,67.4497,67.73,31,0,13.62,clear sky
272,Gaffney,US,35.0718,-81.6498,62.47,58,100,6.4,overcast clouds
273,Mar Del Plata,AR,-38.0023,-57.5575,64.87,83,0,20.0,clear sky
274,Clyde River,CA,70.4692,-68.5914,10.63,79,100,0.0,light snow
275,Roma,US,43.2128,-75.4557,37.13,71,75,5.01,broken clouds
276,Flinders,AU,-34.5833,150.8552,79.88,79,67,11.23,heavy intensity rain
277,Mwene-Ditu,CD,-7.0,23.45,65.59,95,100,4.16,overcast clouds
278,Upernavik,GL,72.7868,-56.1549,17.01,94,100,7.02,overcast clouds
279,Kerema,PG,-7.9631,145.7785,84.9,70,92,9.08,overcast clouds
280,Yulara,AU,-25.2406,130.9889,89.44,25,27,12.66,scattered clouds
281,Quatre Cocos,MU,-20.2078,57.7625,81.09,71,16,11.74,light rain
282,Urkut,HU,47.085,17.6439,29.34,84,8,10.92,clear sky
283,Imbituba,BR,-28.24,-48.6703,69.69,87,99,8.05,overcast clouds
284,Torbay,CA,47.6666,-52.7314,38.57,79,90,19.57,overcast clouds
285,Igarka,RU,67.4667,86.5833,-16.91,92,100,14.27,overcast clouds
286,Manaus,BR,-3.1019,-60.025,77.5,100,75,3.44,broken clouds
287,Port Elizabeth,ZA,-33.918,25.5701,61.11,94,0,6.91,clear sky
288,Tazmalt,DZ,36.3868,4.3989,48.72,84,85,3.71,overcast clouds
289,Nohar,IN,29.1833,74.7667,61.56,44,0,4.76,clear sky
290,Tulua,CO,4.0847,-76.1954,72.43,95,99,0.81,overcast clouds
291,Sakakah,SA,29.9697,40.2064,47.77,42,89,7.67,overcast clouds
292,Warrington,GB,53.3925,-2.5802,38.86,89,16,1.01,few clouds
293,Belmonte,BR,-15.8631,-38.8828,75.7,86,100,8.01,moderate rain
294,Bonoua,CI,5.2741,-3.595,82.02,86,52,4.16,broken clouds
295,Talaya,RU,61.3833,152.75,-13.67,99,100,4.54,light snow
296,Sibolga,ID,1.7427,98.7792,86.61,58,54,4.23,broken clouds
297,Glendale,US,33.5387,-112.186,66.58,34,40,0.0,scattered clouds
298,Derzhavinsk,KZ,51.1,66.3167,11.26,98,100,5.95,overcast clouds
